date,open,high,low,close,volume,openinterest
2018-02-09,548.648,558.538,526.648,552.078,105578.0,0
2018-02-12,559.648,574.148,553.848,566.128,64179.0,0
2018-02-13,573.668,583.468,573.148,580.628,53389.0,0
2018-02-14,588.648,588.648,580.868,587.098,30652.0,0
2018-02-22,595.948,612.648,591.888,611.098,50764.0,0
2018-02-23,615.648,625.208,605.648,611.128,38158.0,0
2018-02-26,615.528,620.698,601.668,612.158,43658.0,0
2018-02-27,617.648,624.648,605.868,606.628,42601.0,0
2018-02-28,600.648,610.948,587.648,594.268,48330.0,0
2018-03-01,596.648,615.498,592.418,610.618,44794.0,0
2018-03-02,606.648,612.208,598.648,605.058,25991.0,0
2018-03-05,606.828,610.648,585.678,588.758,37234.0,0
2018-03-06,593.648,596.248,565.778,586.908,64570.0,0
2018-03-07,583.648,592.648,577.638,578.688,34595.0,0
2018-03-08,582.648,592.648,576.648,591.408,35349.0,0
2018-03-09,596.198,601.218,592.148,596.848,30171.0,0
2018-03-12,598.198,602.568,591.418,592.598,39888.0,0
2018-03-13,591.648,595.248,578.648,578.998,38577.0,0
2018-03-14,578.318,596.728,575.868,595.528,37355.0,0
2018-03-15,596.668,615.648,596.668,615.118,56148.0,0
2018-03-16,616.248,622.628,607.528,608.498,35855.0,0
2018-03-19,612.618,622.638,607.648,622.128,38666.0,0
2018-03-20,618.648,620.648,608.648,616.378,28877.0,0
2018-03-21,618.758,621.758,608.648,610.648,26742.0,0
2018-03-22,612.648,616.648,592.658,594.728,37486.0,0
2018-03-23,569.648,592.138,568.728,579.708,52546.0,0
2018-03-26,576.648,583.708,570.528,582.138,46256.0,0
2018-03-27,591.648,594.528,572.648,583.388,47548.0,0
2018-03-28,568.618,571.648,537.648,550.698,113539.0,0
2018-03-29,550.848,566.498,527.058,557.748,79081.0,0
2018-03-30,554.648,562.148,548.528,552.268,36540.0,0
2018-04-02,548.648,559.648,542.758,548.708,32039.0,0
2018-04-03,546.648,555.648,544.038,546.558,40235.0,0
2018-04-04,550.648,569.078,549.028,562.658,56891.0,0
2018-04-09,565.748,574.078,558.798,566.948,30833.0,0
2018-04-10,573.448,577.148,567.108,576.668,32043.0,0
2018-04-11,578.648,583.428,571.668,574.008,25723.0,0
